id,title,fr-CA,fr-CA_name
430245852,How can resident physicians develop good financial habits?,430512273,Médecins résidents : pour acquérir de saines habitudes financières
430245870,TFSAs: Tackling your most frequently asked questions,430512300,CELI : réponses aux questions les plus fréquentes
430245876,RESPs: Answering your most frequently asked questions,430512306,REEE : réponses aux questions les plus fréquentes
430245879,RRSPs and TFSAs in action: Case studies at different life stages,430512312,REER et CELI en action : études de cas pour différentes étapes de la vie
430245903,So you want to be a landlord?,430512363,Vous pensez à acheter un immeuble locatif?
430245930,Why participating whole life insurance might be right for you,,
430245936,Cover Future RRSP/RRIF Taxes With Permanent Life Insurance,,
430245939,Access Cash From Your Permanent Life Insurance Policy,,
430245942,Why life insurance is essential,430512417,Pourquoi l’assurance vie est essentielle
430245957,Is an alter ego trust or joint partner trust right for you?,430512432,Fiducie en faveur de soi-même et fiducie mixte au profit du conjoint
430245960,Benefits of inter vivos trusts — Examples in action,430512435,Les avantages de la fiducie entre vifs : quelques exemples concrets
430245963,Use a Henson trust to protect your disabled child’s inheritance,430512438,Fiducie Henson : pour protéger l’héritage d’un enfant handicapé
430245981,Are Spousal Trusts Right For You?,,
430245984,Three essential types of insurance for physicians,430512453,Trois types d’assurance essentiels pour les médecins
430245993,Your checklist of executor duties,430512462,Liste de vérification des tâches du liquidateur
430245996,Why should I set up a trust?,430512465,Pourquoi constituer une fiducie?
430246026,What are the benefits of incorporating my practice?,430512495,Quels sont les avantages d’exercer la médecine en société?
430246041,Should I incorporate my medical practice?,430512510,Devriez-vous exercer la médecine en société?
430246044,5 Essential Questions on Relocating Your Medical Professional Corporation,430512513,Cinq questions fondamentales sur le déménagement d’une société médicale professionnelle
430246047,Tax instalment payments: 5 things new physicians need to know,430512516,Acomptes provisionnels : Cinq choses que doit savoir le nouveau médecin
430246059,How does compound growth work?,430512528,Comment fonctionne le rendement composé?
430246065,From start to finish: A checklist for buying your home,,
430246068,Get the most out of your home financing solution,,
430246071,How to finance your first home purchase,430512540,Financer l’achat d’une première maison
430246098,Why you don’t want to die without a will,430512570,Cinq bonnes raisons de faire son testament
430246107,Do Young Physicians Need an Estate Plan?,430512579,Le plan successoral : un jeune médecin en a-t-il besoin?
430246134,Retirement savings: What’s a physician’s magic number?,430512606,Épargne-retraite : Quel est le chiffre magique pour un médecin?
430246161,How to recognize—and avoid—an investment scam,,
430246170,Advisor-client relationships: Top 4 things to look for,,
430246200,Physicians and their finances: 4 top FAQs,430512687,Les médecins et leurs finances : quatre grandes questions
430246224,5 things you should know about RESPs,430512708,Cinq choses à savoir à propos des REEE
430246266,Moving for med school or residency? Here’s what you can deduct,430512744,Vous déménagez pour vos études en médecine ou la résidence?
430800600,Investing is easy until it’s not: The benefits of a real-life advisor,430800627,Pas toujours simple de placer son argent : les avantages d’un conseiller en chair et en os
442928330,Resident physicians: Your top 10 questions about lines of credit answered,442928348,Médecins résidents : Vos dix grandes questions sur les marges de crédit
442930601,Should you start saving money or pay down debt first?,442935521,Devriez-vous commencer par épargner ou par rembourser vos dettes?
447367715,How do I start saving money?,447368183,Épargner : par où commencer?
466097588,How to pay less tax by adding TFSAs to your financial plan,466097702,Comment payer moins d’impôt en intégrant le CELI à votre plan financier
475089371,When caregiving gets personal,475089713,Quand les soins deviennent personnels
476828069,"How to take time off for parental leave, while being a doctor",476828210,Comment planifier un congé parental en tant que médecin?
478962728,New passive income rules starting in 2019: What incorporated physicians need to know,478962734,Les règles sur les revenus passifs changent en 2019 : information pour les médecins exerçant en société
479002952,When it’s time to retire,479003027,Quand sonne l’heure de la retraite
483268751,Renewing relationships post retirement,483270143,Renouveler ses relations à la retraite
487142417,Medical students’ top concerns about disability insurance,487164689,Principales préoccupations des étudiants en médecine concernant l’assurance invalidité
493334885,Incorporated physicians and passive income rules: The impact of RRSPs,493335461,"Règles sur les revenus passifs : le REER, une option à considérer pour les médecins incorporés"
497273988,Adapting to health challenges after retirement,497280276,S’adapter à son état de santé à la retraite
